url,name,subcategory,numberOfReviews,Price,favorites,listedOn,seller_name,seller_url,seller_rating,seller_numberOfReviews,images,variations,highlights,relatedSearches
https://www.etsy.com/listing/2000000/jewelry-Earrings-0,Jewelry Earrings Item 0,Earrings,54,133.63,488,2023-05-20,Seller0,https://etsy.com/shop/seller0,4.8,809,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|earrings
https://www.etsy.com/listing/2000001/jewelry-Ring-1,Jewelry Ring Item 1,Ring,85,39.19,399,2023-08-27,Seller1,https://etsy.com/shop/seller1,4.5,176,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|ring
https://www.etsy.com/listing/2000002/jewelry-Necklace-2,Jewelry Necklace Item 2,Necklace,314,84.4,335,2023-12-15,Seller2,https://etsy.com/shop/seller2,4.6,1985,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|necklace
https://www.etsy.com/listing/2000003/jewelry-Bracelet-3,Jewelry Bracelet Item 3,Bracelet,189,107.15,344,2023-04-01,Seller3,https://etsy.com/shop/seller3,4.9,671,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|bracelet
https://www.etsy.com/listing/2000004/jewelry-Necklace-4,Jewelry Necklace Item 4,Necklace,206,60.45,452,2024-02-01,Seller4,https://etsy.com/shop/seller4,4.8,790,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|necklace
https://www.etsy.com/listing/2000005/jewelry-Bracelet-5,Jewelry Bracelet Item 5,Bracelet,440,13.44,412,2023-09-15,Seller5,https://etsy.com/shop/seller5,4.8,199,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|bracelet
https://www.etsy.com/listing/2000006/jewelry-Bracelet-6,Jewelry Bracelet Item 6,Bracelet,438,125.95,751,2024-03-13,Seller6,https://etsy.com/shop/seller6,4.7,743,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|bracelet
https://www.etsy.com/listing/2000007/jewelry-Bracelet-7,Jewelry Bracelet Item 7,Bracelet,126,95.94,599,2023-05-27,Seller7,https://etsy.com/shop/seller7,4.7,1696,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|bracelet
https://www.etsy.com/listing/2000008/jewelry-Necklace-8,Jewelry Necklace Item 8,Necklace,363,18.0,478,2023-12-31,Seller8,https://etsy.com/shop/seller8,4.6,1752,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|necklace
https://www.etsy.com/listing/2000009/jewelry-Ring-9,Jewelry Ring Item 9,Ring,339,24.25,678,2023-10-04,Seller9,https://etsy.com/shop/seller9,4.5,947,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,jewelry|ring
