url,name,subcategory,numberOfReviews,Price,favorites,listedOn,seller_name,seller_url,seller_rating,seller_numberOfReviews,images,variations,highlights,relatedSearches
https://www.etsy.com/listing/6000000/accessories-Belt-0,Accessories Belt Item 0,Belt,479,72.55,254,2023-11-08,Seller0,https://etsy.com/shop/seller0,4.7,470,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|belt
https://www.etsy.com/listing/6000001/accessories-Belt-1,Accessories Belt Item 1,Belt,244,23.25,565,2024-03-12,Seller1,https://etsy.com/shop/seller1,4.6,1068,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|belt
https://www.etsy.com/listing/6000002/accessories-Hat-2,Accessories Hat Item 2,Hat,499,133.49,65,2023-04-13,Seller2,https://etsy.com/shop/seller2,4.8,1162,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|hat
https://www.etsy.com/listing/6000003/accessories-Sunglasses-3,Accessories Sunglasses Item 3,Sunglasses,28,81.46,758,2023-08-18,Seller3,https://etsy.com/shop/seller3,4.6,400,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|sunglasses
https://www.etsy.com/listing/6000004/accessories-Wallet-4,Accessories Wallet Item 4,Wallet,282,22.24,536,2023-01-09,Seller4,https://etsy.com/shop/seller4,4.6,1582,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|wallet
https://www.etsy.com/listing/6000005/accessories-Belt-5,Accessories Belt Item 5,Belt,26,100.74,138,2024-01-20,Seller5,https://etsy.com/shop/seller5,4.8,537,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|belt
https://www.etsy.com/listing/6000006/accessories-Wallet-6,Accessories Wallet Item 6,Wallet,258,100.16,523,2023-11-18,Seller6,https://etsy.com/shop/seller6,4.8,934,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|wallet
https://www.etsy.com/listing/6000007/accessories-Wallet-7,Accessories Wallet Item 7,Wallet,157,122.03,216,2023-02-13,Seller7,https://etsy.com/shop/seller7,4.8,2000,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|wallet
https://www.etsy.com/listing/6000008/accessories-Belt-8,Accessories Belt Item 8,Belt,366,38.22,933,2023-07-06,Seller8,https://etsy.com/shop/seller8,4.8,624,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|belt
https://www.etsy.com/listing/6000009/accessories-Wallet-9,Accessories Wallet Item 9,Wallet,45,46.9,59,2023-08-19,Seller9,https://etsy.com/shop/seller9,4.6,1975,img1.jpg|img2.jpg,Color:Red|Blue|Black,Handmade|Unique,accessories|wallet
